Date,Open Price,Close Price,High Price,Low Price,Adj.Close Price,wrong Volume
30-Mar-23,7564.27,7620.43,7638.49,7564.27,7620.43,238545475
31-Mar-23,7620.43,7631.74,7654.41,7616.09,7631.74,94511578
03-Apr-23,7631.74,7673,7698.15,7631.74,7673,250162359
04-Apr-23,7673,7634.52,7726.85,7634.52,7634.52,151161530
05-Apr-23,7634.52,7662.94,7678.45,7634.26,7662.94,134199094
06-Apr-23,7662.94,7741.56,7742.11,7654.54,7741.56,186226167
11-Apr-23,7741.56,7785.72,7806.39,7741.56,7785.72,122312644
12-Apr-23,7785.72,7824.84,7859.67,7783.4,7824.84,143126790
13-Apr-23,7824.84,7843.38,7851.57,7814.11,7843.38,189565733
14-Apr-23,7843.38,7871.91,7904.04,7843.38,7871.91,251841134
17-Apr-23,7871.91,7879.51,7916.67,7871.91,7879.51,163910295
18-Apr-23,7879.51,7909.44,7912.73,7879.51,7909.44,154711084
19-Apr-23,7909.44,7898.77,7909.44,7871.43,7898.77,152695130
20-Apr-23,7898.77,7902.61,7902.95,7876.35,7902.61,100322887
21-Apr-23,7902.61,7914.13,7936.11,7886.46,7914.13,100329243
24-Apr-23,7914.13,7912.2,7927.11,7877.58,7912.2,132038364
25-Apr-23,7912.2,7891.13,7912.52,7863.85,7891.13,111401952
26-Apr-23,7891.13,7852.64,7893.95,7825.93,7852.64,145956656
27-Apr-23,7852.64,7831.58,7865.73,7816.83,7831.58,181788757
28-Apr-23,7831.58,7870.57,7870.57,7791.63,7870.57,134294890
02-May-23,7870.57,7773.03,7898.69,7773.03,7773.03,111447928
03-May-23,7773.03,7788.37,7819.66,7773.03,7788.37,227729312
04-May-23,7788.37,7702.64,7788.37,7691.25,7702.64,227428509
05-May-23,7702.64,7778.38,7781.54,7702.64,7778.38,359768316
09-May-23,7778.38,7764.09,7792.35,7735.08,7764.09,199743764
10-May-23,7764.09,7741.33,7778.98,7727.12,7741.33,177734509
